x,y
236,226
237,207
255,222
254,189
237,191
255,162
237,164
237,140
237,116
253,77
205,47
220,50
187,45
253,13
225,29
207,26
213,251
192,249
168,245
151,241
113,237
52,208
29,205
99,196
80,170
99,176
81,147
80,122
80,94
98,97
149,41
129,37
110,35
80,43
66,28
166,22
141,18
67,8
45,5
26,2
5,20
110,217
117,15
127,220
80,74
236,64
98,149
99,139
98,124
80,124
80,111
98,0
8,203
236,80
45,26
80,57
81,188
254,99
99,76
81,201
98,54
238,255
6,222
91,234
30,225
98,44
99,188
99,206
29,24
129,239
190,228
58,230
219,222
210,222
200,222
237,91
