x,y
10,203
0,228
23,228
36,228
51,228
22,202
35,202
62,168
62,144
61,120
63,120
64,228
84,228
101,228
90,203
103,203
110,203
87,96
88,81
87,50
127,229
150,229
161,229
128,203
141,203
161,203
174,202
188,202
197,203
184,229
192,230
196,230
206,229
212,203
230,229
244,229
254,229
1,28
63,92
64,75
25,27
111,2
153,1
128,24
158,24
175,24
200,2
221,26
220,2
236,2
253,28
4,28
133,229
188,230
200,230
203,230
105,203
55,29
57,28
115,24
161,26
164,22
167,25
172,22
206,26
215,26
218,26
60,120
96,33
98,30
100,30
212,229
161,1
