x,y
178,222
195,201
217,201
213,222
10,35
12,13
25,13
41,13
57,13
72,13
124,34
102,77
102,52
140,34
156,34
157,14
171,34
185,33
185,13
198,13
213,34
227,34
211,13
225,13
240,13
241,34
80,251
81,241
81,229
68,223
80,182
33,202
50,202
68,202
102,188
119,202
144,202
164,202
80,136
79,96
79,75
41,34
56,35
70,34
13,222
130,222
80,158
101,148
80,116
192,220
101,98
101,172
30,222
142,13
101,120
103,243
242,201
6,35
18,35
79,0
221,13
217,13
101,5
101,125
146,34
102,255
103,231
116,222
190,33
174,12
224,34
79,45
