x,y
108,65
94,60
95,70
115,108
116,112
116,117
99,100
116,201
114,6
89,27
85,7
89,20
116,210
114,215
111,221
108,225
96,235
92,239
88,243
100,254
157,146
160,139
161,136
164,133
177,118
210,113
113,97
114,99
114,100
114,101
114,102
114,104
114,105
114,107
115,109
115,110
115,111
115,112
115,113
116,115
116,118
116,120
117,121
117,122
117,123
117,124
117,125
118,126
118,127
118,128
118,128
118,129
118,130
118,131
118,132
119,133
119,134
119,135
119,137
120,137
120,139
120,140
120,141
120,142
121,143
121,144
121,145
121,150
121,151
122,151
122,152
122,153
122,155
122,156
123,158
123,160
123,161
123,162
111,179
