x,y
65,16
239,62
224,60
203,57
172,52
151,48
46,31
31,30
9,26
243,45
229,43
181,34
167,32
150,29
114,24
98,21
9,7
242,220
228,217
214,215
199,213
185,211
170,208
156,207
141,205
126,202
112,199
98,197
80,195
69,193
54,191
39,188
26,186
13,184
253,241
239,239
224,237
209,234
195,231
181,229
167,227
152,225
137,223
123,221
122,221
78,214
63,211
22,205
9,202
249,221
235,218
221,216
207,214
192,211
178,210
148,205
133,203
89,196
74,194
61,192
46,189
32,187
19,184
6,182
131,222
143,223
171,228
33,10
217,41
233,237
217,41
