x,y
39,238
72,237
117,215
20,94
42,61
55,93
77,93
97,157
141,92
141,59
199,92
221,57
238,57
4,241
94,60
168,58
215,91
120,59
166,92
201,58
221,237
241,236
138,238
37,237
37,239
38,239
40,239
41,239
42,239
43,239
44,239
45,239
46,239
48,239
49,239
50,239
51,239
52,239
53,239
54,239
55,239
56,239
57,239
58,239
59,239
60,239
61,239
62,239
63,239
64,239
65,239
66,239
67,239
68,238
69,238
70,238
71,238
72,238
73,238
74,238
75,238
76,238
77,238
78,238
79,238
80,238
81,238
82,238
83,238
84,238
85,237
86,237
88,237
89,237
90,236
91,236
92,235
92,234
93,234
94,232
94,231
94,230
95,228
95,226
95,225
95,223
95,220
96,219
96,218
96,217
95,215
96,214
96,213
96,211
96,210
96,209
96,208
96,206
96,205
96,204
96,203
96,202
96,201
96,200
96,199
95,199
94,199
93,199
234,90
77,60
