x,y
98,101
189,41
189,39
188,38
188,37
188,36
188,35
187,34
187,33
187,32
187,31
186,30
186,29
186,27
185,26
185,25
185,24
185,23
185,22
184,21
184,20
184,18
184,17
183,17
183,16
183,15
183,14
182,13
182,12
181,11
181,10
181,9
180,8
180,7
179,7
179,6
178,5
178,4
176,4
176,3
231,204
243,198
224,186
211,193
92,227
57,228
4,244
198,200
221,210
215,214
125,227
125,226
125,224
125,224
124,224
123,224
122,224
122,224
121,224
120,224
119,224
118,224
118,224
117,224
116,224
115,224
115,224
114,224
112,224
111,224
111,224
110,224
109,224
108,225
108,224
107,225
106,225
105,225
105,225
104,225
103,225
102,225
101,225
100,225
99,226
88,227
90,202
105,204
233,179
86,142
87,137
189,41
187,30
185,22
184,19
182,13
174,2
173,2
172,2
172,2
170,2
169,2
167,2
166,2
166,2
165,2
164,2
164,2
163,3
162,3
161,3
160,3
159,3
157,4
155,4
175,3
