x,y
98,230
95,173
95,176
112,186
2,100
1,102
3,101
3,102
10,108
14,112
12,111
16,114
14,78
31,91
45,103
28,122
31,124
49,138
60,113
68,121
100,144
66,151
67,156
70,158
85,169
91,169
83,163
88,167
119,158
199,144
179,225
198,237
214,247
220,166
218,164
84,133
147,204
164,216
217,55
215,67
212,78
206,97
207,97
208,98
209,98
210,99
210,100
209,101
209,102
208,103
208,104
203,122
201,134
196,153
195,153
194,154
196,155
194,168
202,126
192,180
190,186
239,72
235,90
228,110
227,115
227,121
21,80
220,226
231,234
227,2
226,8
89,171
91,173
97,175
128,215
