x,y
114,225
113,217
112,207
111,196
94,178
87,149
103,168
79,108
176,96
147,49
142,46
137,41
194,217
207,197
218,177
227,153
235,132
75,79
210,96
211,94
211,92
211,90
211,88
211,86
210,84
209,82
209,81
209,80
209,78
209,78
209,77
208,76
208,75
208,74
208,73
208,73
208,72
208,70
207,69
184,86
185,87
186,88
187,89
188,90
190,91
191,92
191,93
193,94
194,95
195,96
196,97
197,97
199,99
201,99
203,100
205,100
206,99
208,98
73,65
101,217
99,146
90,57
98,46
135,57
141,62
147,67
154,74
138,246
151,229
163,215
167,208
195,20
207,67
