x,y
12,205
23,180
4,227
29,231
95,243
115,245
139,246
161,248
181,249
200,250
225,196
199,228
225,173
224,146
223,109
223,80
223,58
223,22
224,7
12,40
47,194
46,196
64,217
66,217
94,221
97,221
100,222
42,162
36,111
33,61
36,32
13,74
14,205
111,221
113,223
114,224
115,223
118,223
121,224
124,225
125,224
129,225
130,226
132,227
134,227
160,228
49,193
45,191
47,190
49,189
47,178
44,175
22,170
19,160
20,159
17,149
20,148
20,145
17,144
17,142
17,140
19,140
19,135
16,134
18,132
16,130
18,129
16,128
18,126
15,124
18,123
18,121
16,120
15,119
15,113
