x,y
14,201
25,201
26,221
36,201
50,221
67,201
77,222
253,219
13,13
14,33
28,12
42,12
28,33
42,33
56,34
70,33
55,13
70,13
97,12
120,222
145,221
186,235
209,220
159,183
102,200
116,200
186,191
186,175
193,202
211,202
253,198
158,152
158,135
186,158
185,126
158,119
186,103
187,79
158,69
98,33
110,33
123,33
139,33
151,32
186,47
193,36
208,37
220,37
233,37
249,37
186,2
197,18
213,18
228,17
251,17
110,12
123,12
137,12
151,12
158,52
234,220
158,88
13,222
81,13
89,13
84,201
55,200
84,33
36,13
0,13
159,243
