x,y
241,21
209,169
135,68
175,68
206,49
206,113
254,130
240,117
241,170
209,189
207,13
209,154
212,246
242,201
242,62
242,61
241,52
245,158
244,160
244,161
244,162
244,163
243,164
243,165
243,168
243,169
243,169
244,172
244,173
244,174
244,175
244,176
244,176
244,177
244,177
244,179
244,180
244,181
244,182
244,183
249,152
251,151
251,153
254,151
254,153
255,151
245,237
245,238
245,239
245,240
245,241
245,242
245,243
245,244
245,245
245,247
245,248
245,249
245,251
245,252
245,253
245,254
145,88
171,87
196,88
