x,y
94,211
105,211
125,211
1,210
1,189
32,189
50,189
63,189
71,116
71,143
71,158
97,189
88,136
89,172
127,189
145,189
156,189
156,211
171,211
182,189
181,211
194,211
208,211
246,231
245,248
206,189
219,189
236,189
246,122
246,152
4,27
15,7
35,7
63,27
70,44
70,75
105,27
88,43
88,76
88,106
97,7
130,27
128,7
148,7
159,7
146,28
154,28
172,27
179,27
174,7
187,7
196,27
206,28
222,28
234,28
245,49
245,73
203,7
220,6
232,6
1,7
111,189
71,175
226,210
16,211
47,211
78,241
60,228
21,189
88,60
134,210
245,87
27,27
