x,y
8,157
40,156
98,156
105,181
114,179
117,155
129,155
176,136
191,114
218,89
218,114
225,141
46,11
70,12
104,14
145,25
172,37
218,67
218,42
33,11
56,12
93,16
199,11
229,171
79,178
255,173
195,169
153,176
153,151
153,150
156,147
109,18
152,4
156,5
155,6
157,5
157,7
159,8
161,8
108,15
109,15
111,15
112,16
113,16
113,16
114,16
115,17
116,17
117,17
118,17
119,17
123,20
124,18
125,18
126,19
126,19
127,19
128,20
156,29
158,30
159,31
160,31
162,32
163,33
165,33
166,33
167,34
168,35
170,36
191,71
183,50
242,22
182,13
