x,y
147,182
148,183
149,184
150,185
145,185
147,185
142,190
141,191
141,192
140,192
140,193
139,194
139,195
139,197
138,197
138,198
138,199
137,200
136,201
136,203
135,204
135,206
134,207
135,209
133,209
133,210
132,212
132,213
132,213
131,214
128,223
131,215
130,216
130,217
129,218
129,219
129,219
129,220
128,221
128,222
125,228
105,251
102,252
126,185
123,183
122,187
59,250
121,201
116,214
111,222
108,223
102,229
95,234
93,236
80,243
73,245
67,247
61,249
52,252
140,106
165,73
157,92
120,126
107,127
130,175
108,109
94,110
79,111
72,127
8,114
196,4
194,12
188,24
186,32
181,40
178,49
236,97
232,83
232,93
234,102
237,104
240,118
250,167
248,152
209,31
205,45
197,59
191,66
187,87
185,91
182,97
180,104
175,114
171,114
173,117
166,125
254,79
226,57
244,140
252,175
144,189
128,176
127,179
128,179
180,107
177,108
177,112
176,118
175,120
174,122
173,124
170,124
170,132
164,133
165,146
161,151
161,152
157,160
153,169
127,222
127,222
127,223
127,223
127,224
127,224
126,224
126,224
126,225
126,225
126,225
125,226
125,226
125,226
125,227
125,227
124,228
