x,y
134,179
121,129
115,155
97,108
93,99
92,88
32,132
213,31
77,76
117,77
119,76
120,76
121,76
122,76
123,76
124,76
125,76
126,76
127,76
128,76
129,76
130,76
131,77
132,77
133,77
134,76
158,77
161,77
164,77
166,77
169,77
171,77
173,77
176,77
178,76
179,76
122,129
122,128
91,88
90,88
91,83
108,95
124,124
123,123
123,122
122,121
121,120
121,120
120,119
120,118
119,118
119,117
118,116
118,115
117,114
117,114
116,113
116,112
115,110
115,109
114,108
113,107
113,105
112,104
112,103
112,102
111,101
111,99
111,98
110,96
110,94
111,85
219,53
222,49
225,44
227,41
232,32
233,28
235,23
236,15
238,11
238,4
