x,y
236,82
184,107
200,107
194,117
155,116
58,126
44,157
53,133
45,252
38,197
39,179
31,253
28,229
24,201
24,196
26,168
9,132
41,169
32,131
30,124
34,122
63,94
47,101
44,100
27,226
27,226
27,224
26,223
26,222
26,221
26,220
26,218
25,217
25,215
25,214
25,213
25,211
25,209
25,207
25,206
25,204
25,203
25,202
25,200
25,199
25,197
25,196
25,194
25,193
25,191
25,190
25,188
25,187
25,186
25,185
25,184
25,182
26,181
26,179
26,178
26,176
26,175
26,174
26,172
26,171
26,170
26,168
26,167
26,166
26,165
26,165
26,164
26,163
26,162
26,162
26,161
26,160
26,159
26,159
26,158
25,157
25,157
25,156
25,155
25,155
24,151
23,149
