x,y
8,189
22,190
22,211
37,211
54,211
69,211
77,219
77,233
77,246
39,189
55,190
76,130
76,156
76,168
76,180
120,189
98,131
98,156
98,180
106,210
99,219
98,246
166,211
194,189
196,211
227,210
241,211
227,189
4,28
19,28
4,7
20,7
34,27
51,28
67,28
76,35
76,58
76,80
76,106
108,27
123,28
97,35
97,47
97,58
97,80
98,93
98,105
108,6
124,7
138,27
140,6
157,27
169,28
156,7
185,27
193,27
184,6
193,6
210,28
204,7
214,6
229,27
233,7
167,7
211,189
97,121
98,167
213,211
133,189
144,189
99,235
157,211
168,189
187,189
231,189
123,211
115,210
34,7
65,7
49,7
98,142
