x,y
44,113
44,102
41,81
39,71
21,72
19,64
15,56
11,48
9,39
32,53
30,47
26,39
6,31
4,21
3,15
22,21
21,15
19,7
19,1
2,8
2,2
134,95
147,94
148,75
147,42
134,31
134,17
147,30
147,27
147,20
147,14
134,1
27,158
27,149
27,137
27,114
27,103
26,91
24,83
58,165
45,158
45,152
45,149
44,136
70,165
83,164
110,164
124,164
134,147
134,134
134,118
134,108
110,194
125,194
147,109
183,194
197,194
216,163
221,193
247,194
196,164
148,152
148,135
13,195
41,195
54,195
68,195
140,194
153,164
167,164
43,90
27,125
134,78
155,194
134,42
134,58
147,60
8,164
176,164
184,163
17,60
13,52
134,86
62,195
92,194
