x,y
31,11
33,20
35,28
59,38
66,81
69,88
68,94
72,108
75,115
74,118
74,123
42,63
45,70
42,72
45,83
49,99
47,111
53,122
51,123
54,126
55,131
59,145
61,170
62,176
60,180
83,164
85,165
81,166
92,217
98,251
47,94
40,52
52,108
81,154
83,166
85,167
84,168
81,168
81,170
84,170
86,170
84,172
82,173
86,173
84,175
86,175
83,177
85,177
87,178
85,180
83,181
86,182
85,183
86,183
88,183
85,185
54,139
36,47
39,67
41,78
44,86
47,103
54,6
88,187
90,202
94,231
96,242
79,147
81,147
78,148
79,149
80,149
81,150
79,151
80,151
82,151
79,153
