x,y
51,158
138,235
138,215
29,159
10,163
53,178
40,179
23,184
15,187
184,169
177,180
172,188
168,198
165,210
234,142
219,146
210,123
227,117
253,109
111,56
32,182
28,182
20,185
45,156
41,157
34,158
22,161
21,161
20,161
19,162
13,163
12,163
147,11
195,16
197,16
199,17
200,18
202,18
204,18
205,18
207,18
209,18
211,18
213,18
214,18
216,17
217,16
219,16
220,15
221,14
223,13
224,12
225,11
227,10
228,9
229,8
230,7
199,19
208,21
217,20
232,6
233,4
235,3
236,2
135,91
132,120
136,86
137,79
138,74
138,69
139,64
143,36
255,134
